,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,antanifotsy,-19.65,47.32,55.54,88,9,2.42,MG,1603248281
277,puerto baquerizo moreno,36.59,-6.23,64.4,93,40,14.99,ES,1603248029
278,balaipungut,1.05,101.28,78.8,94,75,1.57,ID,1603248281
279,kurilsk,45.23,147.88,48.22,56,12,6.58,RU,1603248282
280,victor harbor,42.98,-77.41,48.99,96,99,7.05,US,1603248282
281,ostrovnoy,68.05,39.51,36.27,82,100,12.93,RU,1603248248
282,batticaloa,7.71,81.69,83.19,64,38,4.23,LK,1603248284
283,ardakan,32.31,54.02,50.0,19,0,2.24,IR,1603248284
284,waipawa,-41.41,175.52,62.6,67,42,24.16,NZ,1603248231
285,thiers,45.83,3.5,60.8,59,20,24.16,FR,1603248285
286,dubai,25.26,55.3,73.4,64,0,2.24,AE,1603248225
287,sakakah,29.97,40.21,66.2,20,0,4.7,SA,1603248285
288,alexandria,31.22,29.96,73.4,83,0,4.7,EG,1603248164
289,san juan de colon,13.3,-4.9,79.86,51,0,7.45,ML,1603248152
290,hambantota,6.12,81.12,78.8,100,40,8.05,LK,1603248208
291,hanzhong,33.07,107.03,62.76,50,86,1.25,CN,1603248286
292,cayenne,4.93,-52.33,78.8,88,100,2.24,GF,1603248286
293,chernyshevskiy,63.01,112.47,17.49,94,99,6.78,RU,1603248286
294,aldan,58.6,125.39,21.9,97,100,9.89,RU,1603248287
295,chokurdakh,70.63,147.92,8.89,96,61,4.79,RU,1603248601
296,yumen,40.28,97.2,59.07,27,0,11.25,CN,1603248202
297,muisne,0.6,-80.03,75.33,83,100,6.87,EC,1603248287
298,mokhsogollokh,61.47,128.92,25.2,97,100,2.3,RU,1603248217
299,khorramshahr,30.44,48.17,60.8,67,0,4.7,IR,1603248288
300,fortuna,40.6,-124.16,57.99,82,1,10.29,US,1603248288
301,torrington,41.8,-73.12,60.01,94,82,1.19,US,1603248288
302,murgab,37.5,61.97,48.2,32,0,4.7,TM,1603248288
303,esna,25.29,32.55,71.6,33,0,3.31,EG,1603248289
304,mandiana,10.63,-8.68,73.69,85,71,2.73,GN,1603248289
305,kavieng,-2.57,150.8,81.48,78,99,8.61,PG,1603248289
306,saint-georges,12.06,-61.75,84.2,74,20,18.34,GD,1603248290
307,burnie,-41.07,145.92,62.01,62,75,10.0,AU,1603248290
308,baruun-urt,46.68,113.28,28.13,74,0,11.39,MN,1603248291
309,lyuban,52.8,28.0,42.28,83,100,9.98,BY,1603248292
310,atambua,-9.11,124.89,87.8,43,58,1.74,ID,1603248118
311,gigmoto,13.78,124.39,86.25,70,66,12.91,PH,1603248292
312,lazaro cardenas,19.46,-71.33,75.99,87,68,2.26,DO,1603248292
313,santa maria del oro,17.49,120.43,82.76,79,100,3.02,PH,1603248293
314,marsabit,2.33,37.99,64.0,91,92,19.17,KE,1603248293
315,biak,-0.91,122.88,84.4,62,58,8.05,ID,1603248294
316,castro,-24.79,-50.01,62.1,91,41,5.55,BR,1603248203
317,najran,17.49,44.13,60.8,29,0,2.24,SA,1603248277
318,pacific grove,38.48,-90.74,59.0,95,100,8.3,US,1603248294
319,jimma,7.67,36.83,53.98,81,100,1.23,ET,1603248295
320,pisco,-13.7,-76.22,64.0,82,3,12.75,PE,1603248295
321,kitimat,54.05,-128.65,43.0,91,100,1.23,CA,1603248151
322,alyangula,-13.85,136.42,91.4,46,0,12.75,AU,1603248296
323,tautira,-17.73,-149.15,82.4,69,40,13.87,PF,1603248296
324,opuwo,-18.06,13.84,58.05,36,0,0.54,NA,1603248296
325,langsa,4.47,97.97,85.03,76,65,1.72,ID,1603248296
326,kirakira,-10.45,161.92,84.85,63,59,7.92,SB,1603248240
327,bilibino,68.05,166.44,21.79,94,99,2.37,RU,1603248222
328,las varas,49.74,19.43,42.01,3,100,21.99,PL,1603248297
329,abha,18.22,42.51,55.4,25,0,6.93,SA,1603248297
330,praia da vitoria,14.92,-23.51,80.6,78,95,9.17,CV,1603248213
331,mkushi,-13.62,29.39,65.68,42,0,4.88,ZM,1603248298
332,sur,22.57,59.53,77.11,57,0,4.36,OM,1603248299
333,lock haven,40.27,-82.61,54.0,100,90,3.36,US,1603248299
334,baykit,61.67,96.37,26.55,94,99,2.33,RU,1603248299
335,krutinka,56.01,71.51,43.83,86,100,7.72,RU,1603248300
336,olafsvik,64.89,-23.71,42.91,75,100,11.36,IS,1603248300
337,jiayuguan,39.82,98.3,54.81,32,0,2.84,CN,1603248219
338,ilula,-7.68,36.04,60.4,84,50,4.83,TZ,1603248301
339,beringovskiy,63.05,179.32,40.89,86,55,11.95,RU,1603248301
340,camacha,33.08,-16.33,62.6,93,40,5.82,PT,1603248302
341,kutahya,39.42,29.98,51.8,93,75,5.08,TR,1603248249
342,wanning,18.8,110.4,75.9,77,80,15.79,CN,1603248303
343,ladozhskaya,45.31,39.94,50.0,100,40,2.24,RU,1603248303
344,faanui,-16.48,-151.75,79.07,80,11,13.96,PF,1603248192
345,okha,53.57,142.95,48.0,63,95,14.92,RU,1603248304
346,kedrovyy,56.17,91.82,41.0,75,75,4.47,RU,1603248304
347,talnakh,69.49,88.4,8.6,84,49,2.24,RU,1603248306
348,de-kastri,51.47,140.78,51.57,49,98,11.18,RU,1603248306
349,singapore,1.29,103.85,87.8,66,75,3.36,SG,1603248083
350,acapulco,16.86,-99.89,84.2,83,75,5.82,MX,1603248307
351,kampot,10.62,104.18,86.0,66,20,1.12,KH,1603248308
352,kalmunai,7.42,81.82,84.29,63,2,3.89,LK,1603248308
353,sesheke,-17.48,24.3,70.14,22,0,5.21,ZM,1603248308
354,launceston,-41.45,147.17,62.01,67,90,6.93,AU,1603248309
355,fulton,33.77,-84.45,68.0,93,1,7.25,US,1603248309
356,gravdal,68.12,13.5,39.18,72,13,10.25,NO,1603248310
357,pringsewu,-5.36,104.97,88.5,56,99,3.09,ID,1603248310
358,ancud,-41.87,-73.82,45.0,75,0,9.17,CL,1603248218
359,kunnamangalam,11.3,75.88,77.0,88,75,1.68,IN,1603248311
360,illapel,-31.63,-71.17,52.95,72,0,1.32,CL,1603248311
361,anisoc,1.87,10.77,68.95,95,100,1.99,GQ,1603248311
362,sumbe,-11.21,13.84,74.16,83,98,2.93,AO,1603248312
363,floridia,37.09,15.15,57.2,93,0,5.82,IT,1603248312
364,shache,38.42,77.24,56.77,30,0,3.78,CN,1603248312
365,bacungan,9.91,118.7,80.6,88,90,4.7,PH,1603248313
366,kyra,49.58,111.98,28.4,75,3,13.65,RU,1603248313
367,morant bay,17.9,-76.43,78.8,83,20,8.05,JM,1603248313
368,santa rosa,17.49,120.43,82.76,79,100,3.02,PH,1603248293
369,pevek,69.7,170.31,30.96,95,74,15.59,RU,1603248184
370,adelaide,-34.93,138.6,75.0,52,19,11.41,AU,1603248104
371,narsaq,60.92,-46.05,30.2,86,100,2.24,GL,1603248190
372,hovd,48.01,91.64,35.04,72,0,2.15,MN,1603248315
373,clovis,36.83,-119.7,82.4,30,20,3.36,US,1603248301
374,almeria,37.17,-2.33,71.6,68,100,16.11,ES,1603248316
375,paita,-5.09,-81.11,64.09,83,3,10.11,PE,1603248316
376,chaumont,48.12,5.13,55.4,76,100,10.29,FR,1603248317
377,kamaishi,39.27,141.88,59.0,58,20,3.36,JP,1603248079
378,bonavista,48.65,-53.11,54.0,79,99,5.99,CA,1603248101
379,thomasville,35.88,-80.08,61.0,92,100,3.13,US,1603248191
380,carnarvon,-24.87,113.63,73.4,56,40,19.46,AU,1603248232
381,port moresby,-7.03,29.76,72.84,73,24,5.21,CD,1603248028
382,kodiak,57.79,-152.41,46.4,45,1,10.29,US,1603248185
383,codrington,-38.27,141.97,58.5,69,24,8.23,AU,1603248235
384,moose factory,43.66,-110.72,46.4,52,90,10.29,US,1603248320
385,fairbanks,64.84,-147.72,23.0,85,90,0.72,US,1603248037
386,tahta,26.77,31.5,71.6,46,0,2.24,EG,1603248321
387,tignere,7.37,12.65,64.44,72,0,1.3,CM,1603248321
388,soe,-9.86,124.28,89.06,31,43,9.37,ID,1603248322
389,bahia honda,-12.0,-42.0,67.73,73,44,6.4,BR,1603248323
390,varzea grande,39.52,-8.33,60.01,95,13,1.99,PT,1603248323
391,klyuchi,52.27,79.17,44.31,53,8,12.21,RU,1603248323
392,saint-augustin,51.23,-58.65,48.22,91,100,12.91,CA,1603248186
393,lensk,60.73,114.93,25.57,92,89,7.85,RU,1603248324
394,dongsheng,39.82,109.98,39.34,51,0,10.42,CN,1603248324
395,mogadishu,2.04,45.34,78.85,82,49,11.05,SO,1603248325
396,rey bouba,35.59,51.45,57.2,28,0,2.98,IR,1603248325
397,margate,51.38,1.39,59.0,90,100,4.0,GB,1603248325
398,itaituba,-4.28,-55.98,79.29,66,0,2.15,BR,1603248325
399,marsh harbour,53.65,-1.81,55.99,95,100,3.0,GB,1603248326
400,imeni poliny osipenko,7.32,5.96,71.62,99,100,2.55,NG,1603248326
401,komsomolskiy,40.43,71.72,51.8,28,0,9.17,UZ,1603248327
402,myitkyina,25.38,97.4,81.18,69,72,2.26,MM,1603248328
403,torres,-29.34,-49.73,65.95,97,27,6.87,BR,1603248329
404,maldonado,-34.67,-54.92,52.0,71,87,17.22,UY,1603248329
405,slonim,53.09,25.32,44.87,78,100,12.66,BY,1603248329
406,yulara,-25.24,130.99,93.2,17,0,3.36,AU,1603248258
407,novoagansk,61.94,76.66,34.66,98,100,7.25,RU,1603248330
408,swellendam,-34.02,20.44,39.2,93,0,3.36,ZA,1603248330
409,laguna,38.42,-121.42,80.01,40,1,4.76,US,1603248242
410,kovur,14.48,79.98,79.45,83,100,9.37,IN,1603248331
411,mayumba,-3.43,10.66,76.75,88,100,6.04,GA,1603248331
412,grand river south east,38.88,-109.5,64.4,17,1,1.83,US,1603248331
413,souillac,-20.52,57.52,73.4,83,40,10.29,MU,1603248273
414,taltal,-25.4,-70.48,58.5,68,11,1.99,CL,1603248332
415,manokwari,-0.87,134.08,84.85,71,40,11.88,ID,1603248123
416,bur gabo,56.37,8.43,55.0,96,100,12.55,DK,1603248332
417,buluang,13.31,123.34,84.0,80,40,9.71,PH,1603248333
418,camacupa,-12.02,17.48,63.5,83,0,2.51,AO,1603248334
419,sorong,-0.88,131.25,83.8,72,34,6.82,ID,1603248334
420,constitucion,-35.33,-72.42,51.06,78,33,13.58,CL,1603247962
421,nexo,55.06,15.13,53.6,100,100,12.75,DK,1603248334
422,antalaha,-14.9,50.28,72.99,80,100,10.56,MG,1603248335
423,brightwater,-41.38,173.12,64.99,51,0,11.01,NZ,1603248335
424,nabire,-3.37,135.48,77.43,89,100,3.49,ID,1603248258
425,necocli,8.42,-76.79,77.25,87,30,6.11,CO,1603248335
426,rio bravo,38.3,21.78,62.6,55,20,6.93,GR,1603248336
427,tanhacu,-14.02,-41.25,71.47,84,98,4.76,BR,1603248336
428,ambon,-3.7,128.18,87.8,66,20,5.82,ID,1603248337
429,westport,41.14,-73.36,62.6,100,90,0.69,US,1603248261
430,bambanglipuro,-7.95,110.28,83.61,74,31,7.43,ID,1603248058
431,hit,33.64,42.83,70.75,38,0,6.82,IQ,1603248338
432,loandjili,-4.76,11.86,77.09,88,100,5.93,CG,1603248338
433,jilib,0.49,42.79,74.8,90,25,3.02,SO,1603248339
434,geraldton,-28.77,114.6,69.8,60,75,17.22,AU,1603248284
435,puerto escondido,36.59,-6.23,64.4,93,40,14.99,ES,1603248340
436,hornepayne,49.21,-84.77,31.48,91,100,5.95,CA,1603248186
437,cape girardeau,-36.41,-71.9,55.4,66,6,6.93,CL,1603248340
438,aleksandrovka,46.84,32.76,39.2,86,0,2.24,UA,1603248340
439,college,64.86,-147.8,23.0,79,90,0.74,US,1603248341
440,isla vista,15.89,120.3,79.45,85,100,27.11,PH,1603248341
441,antofagasta,-23.65,-70.4,59.0,82,75,3.36,CL,1603248202
442,maceio,-9.67,-35.74,71.6,88,20,1.12,BR,1603248195
443,griffith,41.53,-87.42,48.99,100,90,9.17,US,1603248342
444,keti bandar,40.87,43.84,46.4,93,90,2.24,AM,1603248343
445,termoli,41.99,14.99,55.0,62,0,5.99,IT,1603248344
446,montrose,38.42,-108.27,55.4,30,1,6.93,US,1603248344
447,sisimiut,66.94,-53.67,33.08,91,100,26.69,GL,1603248344
448,hay river,52.07,-3.13,57.0,93,100,4.21,GB,1603248345
449,asosa,10.07,34.53,62.53,82,48,5.28,ET,1603248346
450,esperance,-33.87,121.9,60.8,93,90,13.87,AU,1603248215
451,arica,-18.48,-70.3,64.0,74,67,1.99,CL,1603248137
452,coro,11.4,-69.67,81.0,78,100,5.73,VE,1603248347
453,naze,28.37,129.48,80.6,74,75,16.11,JP,1603248347
454,kholodnyy,62.72,147.95,14.09,80,0,0.76,RU,1603248348
455,yuancheng,36.65,107.79,55.74,34,0,9.04,CN,1603248348
456,alcaniz,41.05,-0.13,55.99,95,100,1.01,ES,1603248349
457,shingu,33.73,135.98,71.6,60,40,8.05,JP,1603248349
458,fujin,47.26,132.03,58.06,52,100,13.38,CN,1603248349
459,sinnamary,5.38,-52.95,79.7,81,100,12.06,GF,1603248349
460,altay,47.87,88.12,48.96,41,0,2.48,CN,1603248298
461,ozinki,51.18,49.68,37.24,77,0,11.36,RU,1603248350
462,mandurah,-32.55,115.7,73.99,52,0,9.17,AU,1603248351
463,leh,34.17,77.58,41.25,42,0,2.48,IN,1603248351
464,sambava,-14.27,50.17,74.3,81,100,15.93,MG,1603248352
465,kaoma,-14.78,24.8,65.28,28,0,6.8,ZM,1603248352
466,sant feliu de guixols,47.45,24.9,37.49,77,66,3.71,RO,1603248352
467,caravelas,-17.71,-39.25,72.61,94,99,1.14,BR,1603248186
468,wattegama,6.8,81.48,78.8,100,40,8.05,LK,1603248353
469,teya,60.38,92.63,31.3,95,100,7.11,RU,1603248354
470,namatanai,-3.67,152.43,82.71,73,65,3.22,PG,1603248252
471,zyryanka,65.75,150.85,19.83,96,0,6.04,RU,1603248354
472,irbeyskoye,55.64,95.45,39.29,79,100,7.0,RU,1603248355
473,vardo,70.37,31.11,30.2,86,75,6.93,NO,1603248211
474,hamilton,39.18,-84.53,55.99,93,90,5.01,US,1603248033
475,doka,13.52,35.77,72.5,47,0,3.58,SD,1603248212
476,san cristobal,13.3,-4.9,79.86,51,0,7.45,ML,1603248356
477,searcy,35.25,-91.74,66.99,100,1,6.62,US,1603248356
478,safford,32.83,-109.71,73.4,11,1,3.04,US,1603248356
479,pizarro,4.95,-77.37,77.02,87,100,4.59,CO,1603248357
480,kathu,7.92,98.33,86.0,74,20,3.36,TH,1603248357
481,vilhena,-12.74,-60.15,70.88,87,68,1.21,BR,1603248357
482,cabinda,-5.55,12.2,76.55,87,92,5.82,AO,1603248357
483,egvekinot,66.32,-179.17,33.94,100,98,6.26,RU,1603248350
484,marietta,33.95,-84.55,66.2,82,1,4.7,US,1603248269
485,coihaique,-45.58,-72.07,42.8,75,0,3.36,CL,1603248288
486,hailar,49.2,119.7,30.18,98,100,18.34,CN,1603248074
487,guerrero negro,17.67,-100.0,67.66,76,100,2.46,MX,1603248359
488,salalah,17.02,54.09,77.0,47,1,3.36,OM,1603247985
489,yatou,37.15,122.38,67.59,59,90,17.4,CN,1603248359
490,antipovka,49.83,45.31,36.84,80,0,11.83,RU,1603248360
491,visby,57.64,18.3,51.01,93,100,8.05,SE,1603248360
492,zhezkazgan,47.8,67.71,45.1,48,69,7.54,KZ,1603248325
493,half moon bay,6.38,-10.7,75.85,91,90,0.83,LR,1603248361
494,lucapa,-8.42,20.74,64.9,93,99,2.39,AO,1603248341
495,harper,4.38,-7.72,77.13,81,72,4.38,LR,1603248361
496,cotonou,6.37,2.42,78.51,89,44,10.45,BJ,1603248305
497,taksimo,56.34,114.88,24.55,77,82,2.98,RU,1603248362
498,sobolevo,54.43,31.9,35.98,86,100,7.16,RU,1603248363
499,flinders,-34.58,150.86,75.99,65,67,7.0,AU,1603248342
500,ampanihy,-24.7,44.75,66.61,48,0,2.04,MG,1603248363
501,dunedin,-45.87,170.5,46.99,90,83,5.99,NZ,1603248363
502,berbera,10.44,45.01,81.27,56,0,4.29,SO,1603248364
503,saint-joseph,-21.37,55.62,71.6,53,5,6.93,RE,1603248364
504,laramie,41.31,-105.59,46.99,52,90,16.11,US,1603248287
505,ivaipora,-24.25,-51.68,65.86,88,22,3.18,BR,1603248365
506,balykshi,47.07,51.87,41.0,75,82,8.95,KZ,1603248365
507,mount isa,53.66,-1.85,55.99,95,100,3.0,GB,1603248149
508,dhar,22.6,75.3,75.2,64,40,4.7,IN,1603248365
509,muros,42.78,-9.06,59.0,91,76,11.01,ES,1603248366
510,mukhen,48.1,136.1,58.87,38,100,11.01,RU,1603248366
511,ibra,22.69,58.53,71.13,18,0,2.55,OM,1603248366
512,korla,41.76,86.15,54.84,36,0,6.2,CN,1603248367
513,katol,21.27,78.58,77.0,83,40,5.12,IN,1603248368
514,palmer,42.16,-72.33,60.8,100,75,4.7,US,1603248237
515,bac lieu,45.39,19.24,39.99,93,29,4.7,RS,1603248369
516,kabwe,-14.45,28.45,67.62,32,0,5.75,ZM,1603248369
517,puerto colombia,36.59,-6.23,64.4,93,40,14.99,ES,1603248369
518,ask,60.07,11.03,44.01,100,75,3.06,NO,1603248369
519,mahibadhoo,3.78,72.97,82.69,78,80,13.49,MV,1603248370
520,monterey,36.25,-121.25,68.0,77,1,8.05,US,1603248370
521,zhangzhou,24.51,117.66,78.8,57,75,6.71,CN,1603248370
522,ryotsu,38.08,138.43,68.0,42,20,11.41,JP,1603248371
523,mago,53.25,140.18,46.08,54,100,5.53,RU,1603248237
524,klaksvik,62.23,-6.59,41.0,75,29,8.05,FO,1603248359
525,trairi,-3.28,-39.27,78.78,78,20,12.08,BR,1603248373
526,san policarpo,13.3,-4.9,79.86,51,0,7.45,ML,1603248373
527,castlerea,53.77,-8.5,53.01,99,34,8.99,IE,1603248373
528,khani,41.96,42.96,57.2,93,93,2.24,GE,1603248374
529,goundam,16.41,-3.67,85.5,14,0,9.04,ML,1603248374
530,gagnoa,6.13,-5.94,69.67,98,62,2.59,CI,1603248375
531,sakaiminato,35.55,133.23,71.6,49,40,10.29,JP,1603248375
532,bam,29.11,58.36,64.02,17,0,11.25,IR,1603248375
533,kilindoni,-7.91,39.67,78.53,76,37,8.01,TZ,1603248376
534,summerville,33.02,-80.18,71.6,94,75,8.05,US,1603248300
535,awjilah,29.11,21.29,62.87,72,0,10.67,LY,1603248377
536,caibarien,22.52,-79.47,73.4,94,75,5.82,CU,1603248377
537,boa vista,4.43,8.97,76.28,85,100,1.86,CM,1603248378
538,suicheng,33.9,117.93,69.98,43,81,8.97,CN,1603248378
539,north adams,50.33,3.67,55.4,93,100,13.87,FR,1603248378
540,ballangen,68.34,16.83,35.01,85,90,16.11,NO,1603248378
541,boysun,38.21,67.2,53.46,40,0,2.62,UZ,1603248379
542,kourou,5.16,-52.65,78.8,88,98,2.24,GF,1603248379
543,tomatlan,19.93,-105.25,77.02,92,75,1.01,MX,1603248380
544,biu,10.61,12.19,72.1,34,0,2.26,NG,1603248381
545,sidi qasim,5.08,19.88,71.31,94,100,5.37,CF,1603248381
546,reforma,18.1,-91.02,73.69,96,13,6.46,MX,1603248381
547,sevlievo,43.03,25.11,46.99,92,0,4.0,BG,1603248188
548,dingle,11.0,122.67,84.27,80,62,15.77,PH,1603248382
549,marsa matruh,35.88,14.5,63.0,82,0,5.82,MT,1603248382
550,ilhabela,-23.78,-45.36,71.6,88,29,1.14,BR,1603248382
551,tessalit,20.2,1.01,79.11,17,0,9.95,ML,1603248260
552,kintampo,8.06,-1.73,71.62,94,86,3.98,GH,1603248344
553,pochutla,15.74,-96.47,78.01,93,91,1.01,MX,1603248226
